Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
220,tt1606259,2013-04-24,2013-04-24,,Knuckle,https://www.imdb.com/title/tt1606259/,movie,6.8,97,2011,"Documentary, Biography, Drama",2635,2011-01-21,Ian Palmer
221,tt0100332,2013-04-24,2013-04-24,,Paris Is Burning,https://www.imdb.com/title/tt0100332/,movie,8.1,71,1990,Documentary,8852,1990-09-13,Jennie Livingston
222,tt1331025,2013-04-24,2013-04-24,,The September Issue,https://www.imdb.com/title/tt1331025/,movie,7.0,90,2009,Documentary,6989,2009-01-16,R.J. Cutler
223,tt1929387,2013-04-24,2013-04-24,,Terry Pratchett: Choosing to Die,https://www.imdb.com/title/tt1929387/,tvMovie,8.4,59,2011,Documentary,563,2011-06-13,Charlie Russell
224,tt0995061,2013-04-24,2013-04-24,,The Business of Being Born,https://www.imdb.com/title/tt0995061/,movie,7.4,87,2008,Documentary,1262,2008-01-09,Abby Epstein
225,tt2129928,2013-04-24,2013-04-24,,Bones Brigade: An Autobiography,https://www.imdb.com/title/tt2129928/,movie,8.1,90,2012,"Documentary, Sport",2193,2012-01-21,Stacy Peralta
226,tt2621126,2013-04-24,2013-04-24,,Mindless Behavior: All Around the World,https://www.imdb.com/title/tt2621126/,movie,7.4,86,2013,Documentary,363,2013-03-15,Steven Goldfried
227,tt1872819,2013-04-24,2013-04-24,,Like Water,https://www.imdb.com/title/tt1872819/,movie,7.0,76,2011,"Documentary, Biography, Sport",1435,2011-04-21,Pablo Croce
228,tt1241325,2013-04-24,2013-04-24,,Objectified,https://www.imdb.com/title/tt1241325/,movie,7.1,75,2009,Documentary,3243,2009-03-14,Gary Hustwit
229,tt0449472,2013-04-24,2013-04-24,,Champion,https://www.imdb.com/title/tt0449472/,movie,7.2,82,2005,Documentary,395,2005-03-12,Joe Eckardt
230,tt2119373,2013-04-24,2013-04-24,,A Noble Lie: Oklahoma City 1995,https://www.imdb.com/title/tt2119373/,movie,7.4,120,2011,Documentary,264,2011-12-07,James Lane
231,tt1618399,2013-04-24,2013-04-24,,The Waiting Room,https://www.imdb.com/title/tt1618399/,movie,7.1,81,2012,Documentary,735,2012-06-19,Peter Nicks
232,tt0092851,2013-04-24,2013-04-24,,Dear America: Letters Home from Vietnam,https://www.imdb.com/title/tt0092851/,tvMovie,7.9,84,1987,"Documentary, History, War",1638,1987-10-31,Bill Couturié
233,tt0352621,2013-04-24,2013-04-24,,The Nazi Officer's Wife,https://www.imdb.com/title/tt0352621/,movie,7.3,90,2003,"Documentary, History, War",255,2003-03-30,Liz Garbus
234,tt1990352,2013-04-24,2013-04-24,,The Island President,https://www.imdb.com/title/tt1990352/,movie,7.3,101,2011,Documentary,1113,2011-09-03,Jon Shenk
235,tt1784538,2013-04-24,2013-04-24,,Miss Representation,https://www.imdb.com/title/tt1784538/,movie,7.6,85,2011,Documentary,3298,2011-01-20,"Kimberlee Acquaro, Jennifer Siebel Newsom"
236,tt0062144,2013-04-24,2013-04-24,,Portrait of Jason,https://www.imdb.com/title/tt0062144/,movie,7.2,105,1967,"Documentary, Biography",745,1967-09-29,Shirley Clarke
237,tt0486259,2013-04-24,2013-04-24,,American Teen,https://www.imdb.com/title/tt0486259/,movie,6.5,95,2008,Documentary,3984,2008-01-19,Nanette Burstein
238,tt2088029,2013-04-24,2013-04-24,,iGenius: How Steve Jobs Changed the World,https://www.imdb.com/title/tt2088029/,tvMovie,6.5,43,2011,Documentary,417,2011-10-16,
239,tt0378407,2013-04-24,2013-04-24,,My Date with Drew,https://www.imdb.com/title/tt0378407/,movie,6.5,90,2004,Documentary,4439,2004-04-03,"Brett Winn, Jon Gunn, Brian Herzlinger"
240,tt1276962,2013-04-24,2013-04-24,,How to Make Money Selling Drugs,https://www.imdb.com/title/tt1276962/,movie,7.7,96,2012,"Documentary, Crime",6468,2012-09-07,Matthew Cooke
