Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
601,tt1812523,2013-04-23,2013-04-23,,TRON: Uprising,https://www.imdb.com/title/tt1812523/,tvSeries,8.1,30,2012,"Animation, Action, Adventure, Family, Sci-Fi",7168,2012-05-20,
602,tt0080240,2013-04-23,2013-04-23,,"Magnum, P.I.",https://www.imdb.com/title/tt0080240/,tvSeries,7.5,48,1980,"Action, Adventure, Crime, Drama, Mystery, Thriller",19373,1980-12-11,
603,tt2222135,2013-04-23,2013-04-23,,Dog with a Blog,https://www.imdb.com/title/tt2222135/,tvSeries,4.7,22,2012,"Comedy, Drama, Family, Fantasy",4743,2012-10-12,
604,tt0273366,2013-04-23,2013-04-23,,Lizzie McGuire,https://www.imdb.com/title/tt0273366/,tvSeries,6.6,30,2001,"Comedy, Drama, Family",15739,2001-01-12,
605,tt2393813,2013-04-23,2013-04-23,,Graceland,https://www.imdb.com/title/tt2393813/,tvSeries,7.7,42,2013,"Action, Crime, Drama",15191,2013-06-06,
606,tt1167345,2013-04-23,2013-04-23,,Co-Ed Confidential,https://www.imdb.com/title/tt1167345/,tvSeries,6.8,23,2007,"Comedy, Drama, Romance",626,2007-11-02,
607,tt0092325,2013-04-23,2013-04-23,,The Bold and the Beautiful,https://www.imdb.com/title/tt0092325/,tvSeries,3.6,30,1987,"Drama, Romance",6492,1987-03-23,
608,tt0111999,2013-04-23,2013-04-23,,Hercules: The Legendary Journeys,https://www.imdb.com/title/tt0111999/,tvSeries,6.5,44,1995,"Action, Adventure, Drama, Fantasy, Romance",25124,1995-01-16,
609,tt0363307,2013-04-23,2013-04-23,,America's Next Top Model,https://www.imdb.com/title/tt0363307/,tvSeries,5.6,42,2003,"Game-Show, Reality-TV",16724,2003-05-20,
610,tt1597420,2013-04-23,2013-04-23,,Melissa & Joey,https://www.imdb.com/title/tt1597420/,tvSeries,7.0,30,2010,"Comedy, Romance",16691,2010-08-17,
611,tt0290978,2013-04-23,2013-04-23,,The Office,https://www.imdb.com/title/tt0290978/,tvSeries,8.5,30,2001,"Comedy, Drama",86155,2001-07-09,
612,tt0115326,2013-04-23,2013-04-23,,PSI Factor: Chronicles of the Paranormal,https://www.imdb.com/title/tt0115326/,tvSeries,7.2,45,1996,"Drama, Fantasy, Mystery, Sci-Fi, Thriller",1560,1996-10-12,
613,tt0273855,2013-04-23,2013-04-23,,My Wife and Kids,https://www.imdb.com/title/tt0273855/,tvSeries,6.8,30,2001,"Comedy, Family",23770,2001-03-28,
614,tt0760222,2013-04-23,2013-04-23,,Life in the Undergrowth,https://www.imdb.com/title/tt0760222/,tvMiniSeries,9.1,50,2005,Documentary,3262,2005-11-23,
615,tt0491603,2013-04-23,2013-04-23,,H2O: Just Add Water,https://www.imdb.com/title/tt0491603/,tvSeries,7.3,23,2006,"Adventure, Drama, Family, Fantasy",10836,2006-07-07,
616,tt0292414,2013-04-23,2013-04-23,,McLeod's Daughters,https://www.imdb.com/title/tt0292414/,tvSeries,7.2,45,2001,"Drama, Romance, Western",4171,2001-08-08,
617,tt0135659,2013-04-23,2013-04-23,,Storm of the Century,https://www.imdb.com/title/tt0135659/,tvMiniSeries,7.4,257,1999,"Drama, Fantasy, Horror, Thriller",18385,1999-02-14,
618,tt1819022,2013-04-23,2013-04-23,,Mrs. Brown's Boys,https://www.imdb.com/title/tt1819022/,tvSeries,7.3,26,2011,Comedy,6829,2011-01-01,
619,tt1991410,2013-04-23,2013-04-23,,Dance Moms,https://www.imdb.com/title/tt1991410/,tvSeries,4.7,42,2011,Reality-TV,5302,2011-07-13,
620,tt2295953,2013-04-23,2013-04-23,,Primeval: New World,https://www.imdb.com/title/tt2295953/,tvSeries,6.6,42,2012,"Action, Adventure, Drama, Sci-Fi",4009,2012-10-29,
621,tt2480514,2013-04-23,2013-04-23,,In the Flesh,https://www.imdb.com/title/tt2480514/,tvSeries,8.0,56,2013,"Drama, Horror",12056,2013-03-17,
