Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
239,tt2584172,2013-04-23,2013-04-23,,Supanatural,https://www.imdb.com/title/tt2584172/,tvMovie,4.9,23,2013,"Animation, Comedy",245,2013-04-19,Mark Brooks
240,tt1321862,2013-04-23,2013-04-23,,Dino Time,https://www.imdb.com/title/tt1321862/,movie,4.8,86,2012,"Animation, Adventure, Comedy, Family",882,2012-12-06,"John Kafka, Yoon-suk Choi"
241,tt1821658,2013-04-23,2013-04-23,,The Nut Job,https://www.imdb.com/title/tt1821658/,movie,5.7,85,2014,"Animation, Adventure, Comedy, Crime, Family",24510,2014-01-11,Peter Lepeniotis
242,tt2446108,2013-04-23,2013-04-23,,Monster High: Ghouls Rule!,https://www.imdb.com/title/tt2446108/,tvMovie,5.9,71,2012,"Animation, Family",617,2012-10-09,"Steve Sacks, Mike Fetterly"
243,tt1946347,2013-04-23,2013-04-23,,Gladiatori di Roma,https://www.imdb.com/title/tt1946347/,movie,5.2,94,2012,"Animation, Adventure, Comedy",1109,2012-10-18,Iginio Straffi
244,tt2141773,2013-04-23,2013-04-23,,Hell and Back,https://www.imdb.com/title/tt2141773/,movie,5.4,86,2015,"Animation, Adventure, Comedy, Fantasy",4328,2015-10-02,"Tom Gianas, Ross Shuman"
245,tt0249516,2013-04-23,2013-04-23,,Foodfight!,https://www.imdb.com/title/tt0249516/,movie,1.9,91,2012,"Animation, Action, Comedy, Family, Fantasy, Mystery, Sci-Fi",8162,2012-05-03,Lawrence Kasanoff
246,tt0985058,2013-04-23,2013-04-23,,Metropia,https://www.imdb.com/title/tt0985058/,movie,6.3,86,2009,"Animation, Drama, Mystery, Sci-Fi, Thriller",7013,2009-09-03,Tarik Saleh
247,tt1639826,2013-04-23,2013-04-23,,Justin and the Knights of Valour,https://www.imdb.com/title/tt1639826/,movie,6.0,90,2013,"Animation, Adventure, Family",5222,2013-09-12,Manuel Sicilia
248,tt1265998,2013-04-23,2013-04-23,,Afro Samurai: Resurrection,https://www.imdb.com/title/tt1265998/,tvMovie,7.3,97,2009,"Animation, Action, Adventure, Drama, Fantasy, Sci-Fi",7713,2009-01-25,Fuminori Kizaki
249,tt2396690,2013-04-23,2013-04-23,,Barbie: The Princess & the Popstar,https://www.imdb.com/title/tt2396690/,movie,5.8,86,2012,"Animation, Family, Musical",1249,2012-08-27,Ezekiel Norton
250,tt1243946,2013-04-23,2013-04-23,,Nephilim,https://www.imdb.com/title/tt1243946/,movie,7.2,99,2017,"Animation, Action, Fantasy",23,2017-05-31,Danny Wilson
251,tt0076929,2013-04-23,2013-04-23,,Wizards,https://www.imdb.com/title/tt0076929/,movie,6.5,80,1977,"Animation, Adventure, Fantasy, Sci-Fi",9159,1977-01-31,Ralph Bakshi
252,tt0213203,2013-04-23,2013-04-23,,Rugrats in Paris: The Movie - Rugrats II,https://www.imdb.com/title/tt0213203/,movie,6.2,78,2000,"Animation, Adventure, Comedy, Family, Romance",10028,2000-11-05,"Paul Demeyer, Stig Bergqvist"
253,tt0166276,2013-04-23,2013-04-23,,Monkeybone,https://www.imdb.com/title/tt0166276/,movie,4.7,93,2001,"Animation, Comedy, Fantasy",15809,2001-02-23,Henry Selick
254,tt0337711,2013-04-23,2013-04-23,,Rugrats Go Wild,https://www.imdb.com/title/tt0337711/,movie,5.6,80,2003,"Animation, Adventure, Comedy, Family, Fantasy, Musical",6957,2003-06-01,"Norton Virgien, John Eng"
255,tt0486321,2013-04-23,2013-04-23,,Fly Me to the Moon,https://www.imdb.com/title/tt0486321/,movie,4.5,84,2008,"Animation, Adventure, Family",3973,2008-01-30,"Mimi Maynard, Ben Stassen"
256,tt0068612,2013-04-23,2013-04-23,,Fritz the Cat,https://www.imdb.com/title/tt0068612/,movie,6.3,78,1972,"Animation, Comedy, Drama",10041,1972-01-25,Ralph Bakshi
257,tt0070544,2013-04-23,2013-04-23,,La planète sauvage,https://www.imdb.com/title/tt0070544/,movie,7.8,72,1973,"Animation, Sci-Fi",20211,1973-05-11,René Laloux
258,tt0289408,2013-04-23,2013-04-23,,The Powerpuff Girls Movie,https://www.imdb.com/title/tt0289408/,movie,6.5,73,2002,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",8736,2002-06-22,Craig McCracken
259,tt0066327,2013-04-23,2013-04-23,,Santa Claus Is Comin' to Town,https://www.imdb.com/title/tt0066327/,tvMovie,7.8,48,1970,"Animation, Adventure, Comedy, Family, Fantasy, Musical",10468,1970-12-14,"Jules Bass, Arthur Rankin Jr."
260,tt0479008,2013-04-23,2013-04-23,,Dante's Inferno,https://www.imdb.com/title/tt0479008/,movie,6.6,88,2007,"Animation, Comedy",1381,2007-01-31,Sean Meredith
261,tt0820142,2013-04-23,2013-04-23,,Shark Bait,https://www.imdb.com/title/tt0820142/,movie,4.2,77,2006,"Animation, Family",3494,2006-07-07,"John Fox, Kyung Ho Lee, Howard E. Baker"
262,tt0347791,2013-04-23,2013-04-23,,Gekijô-ban poketto monsutaa: Mizu no Miyako no Mamori Gami Ratiasu to Ratiosu,https://www.imdb.com/title/tt0347791/,movie,6.2,80,2002,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi, Thriller",4647,2002-07-13,"Kunihiko Yuyama, Jim Malone"
263,tt0114563,2013-04-23,2013-04-23,,Sutorîto Faitâ II gekijô-ban,https://www.imdb.com/title/tt0114563/,movie,7.3,102,1994,"Animation, Action, Adventure, Fantasy, Sci-Fi",7329,1994-08-06,Gisaburô Sugii
264,tt0085542,2013-04-23,2013-04-23,,Fire and Ice,https://www.imdb.com/title/tt0085542/,movie,6.6,81,1983,"Animation, Fantasy, Adventure",8364,1983-03-25,"Ralph Bakshi, Tom Tataranowicz"
265,tt0265632,2013-04-23,2013-04-23,,Recess: School's Out,https://www.imdb.com/title/tt0265632/,movie,6.6,82,2001,"Animation, Comedy, Family, Mystery, Sci-Fi",8475,2001-02-10,Chuck Sheetz
266,tt0455326,2013-04-23,2013-04-23,,Aqua Teen Hunger Force Colon Movie Film for Theaters,https://www.imdb.com/title/tt0455326/,movie,6.9,86,2007,"Animation, Action, Adventure, Comedy, Fantasy, Sci-Fi",12873,2007-04-10,"Dave Willis, Matt Maiellaro"
267,tt0119273,2013-04-23,2013-04-23,,Heavy Metal 2000,https://www.imdb.com/title/tt0119273/,movie,5.4,88,2000,"Animation, Action, Adventure, Fantasy, Sci-Fi",7188,2000-04-19,"Michel Lemire, Michael Coldewey"
268,tt0293416,2013-04-23,2013-04-23,,Metoroporisu,https://www.imdb.com/title/tt0293416/,movie,7.3,108,2001,"Animation, Adventure, Drama, Sci-Fi, Thriller",18988,2001-05-26,Rintaro
269,tt2293640,2013-04-23,2013-04-23,,Minions,https://www.imdb.com/title/tt2293640/,movie,6.4,91,2015,"Animation, Adventure, Comedy, Family",192860,2015-06-11,"Pierre Coffin, Kyle Balda"
270,tt0076591,2013-04-23,2013-04-23,,"Race for Your Life, Charlie Brown",https://www.imdb.com/title/tt0076591/,movie,7.3,76,1977,"Animation, Adventure, Comedy, Family",2713,1977-07-16,"Bill Melendez, Phil Roman"
