Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
37,tt0116778,2013-04-23,2013-04-23,,Kingpin,https://www.imdb.com/title/tt0116778/,movie,6.9,114,1996,"Comedy, Sport",71672,1996-07-04,"Peter Farrelly, Bobby Farrelly"
38,tt0120484,2013-04-23,2013-04-23,,The Waterboy,https://www.imdb.com/title/tt0120484/,movie,6.1,90,1998,"Comedy, Sport",137388,1998-11-06,Frank Coraci
39,tt0146838,2013-04-23,2013-04-23,,Any Given Sunday,https://www.imdb.com/title/tt0146838/,movie,6.9,162,1999,"Drama, Sport",106390,1999-12-16,Oliver Stone
40,tt0388980,2013-04-23,2013-04-23,,The Greatest Game Ever Played,https://www.imdb.com/title/tt0388980/,movie,7.5,120,2005,"Biography, Drama, History, Sport",25738,2005-09-30,Bill Paxton
41,tt0479143,2013-04-23,2013-04-23,,Rocky Balboa,https://www.imdb.com/title/tt0479143/,movie,7.2,102,2006,"Drama, Sport",189808,2006-12-13,Sylvester Stallone
42,tt0445934,2013-04-23,2013-04-23,,Blades of Glory,https://www.imdb.com/title/tt0445934/,movie,6.3,93,2007,"Comedy, Sport",147180,2007-03-30,"Will Speck, Josh Gordon"
43,tt0423294,2013-04-23,2013-04-23,,Surf's Up,https://www.imdb.com/title/tt0423294/,movie,6.7,85,2007,"Animation, Comedy, Family, Sport",62373,2007-06-02,"Chris Buck, Ash Brannon"
44,tt0074174,2013-04-23,2013-04-23,,The Bad News Bears,https://www.imdb.com/title/tt0074174/,movie,7.3,102,1976,"Comedy, Drama, Family, Sport",18645,1976-04-05,Michael Ritchie
45,tt0084602,2013-04-23,2013-04-23,,Rocky III,https://www.imdb.com/title/tt0084602/,movie,6.8,99,1982,"Drama, Sport",155799,1982-05-24,Sylvester Stallone
46,tt0097815,2013-04-23,2013-04-23,,Major League,https://www.imdb.com/title/tt0097815/,movie,7.2,107,1989,"Comedy, Sport",56440,1989-04-07,David S. Ward
47,tt0104868,2013-04-23,2013-04-23,,The Mighty Ducks,https://www.imdb.com/title/tt0104868/,movie,6.5,100,1992,"Comedy, Drama, Family, Sport",52872,1992-09-20,Stephen Herek
48,tt0105812,2013-04-23,2013-04-23,,White Men Can't Jump,https://www.imdb.com/title/tt0105812/,movie,6.7,115,1992,"Comedy, Drama, Sport",68832,1992-03-27,Ron Shelton
