Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
34,tt1074638,2013-04-24,2013-04-24,,Skyfall,https://www.imdb.com/title/tt1074638/,movie,7.8,143,2012,"Action, Adventure, Thriller",590636,2012-10-23,Sam Mendes
35,tt1397280,2013-04-24,2013-04-24,,Taken 2,https://www.imdb.com/title/tt1397280/,movie,6.3,92,2012,"Action, Thriller",272247,2012-09-07,Olivier Megaton
36,tt1606378,2013-04-24,2013-04-24,,A Good Day to Die Hard,https://www.imdb.com/title/tt1606378/,movie,5.3,98,2013,"Action, Thriller",187894,2013-02-06,John Moore
37,tt1924429,2013-04-24,2013-04-24,,Trance,https://www.imdb.com/title/tt1924429/,movie,6.9,101,2013,"Crime, Drama, Mystery, Thriller",104705,2013-03-19,Danny Boyle
38,tt2053463,2013-04-24,2013-04-24,,Side Effects,https://www.imdb.com/title/tt2053463/,movie,7.1,106,2013,"Crime, Drama, Mystery, Thriller",168112,2013-01-31,Steven Soderbergh
39,tt1817273,2013-04-24,2013-04-24,,The Place Beyond the Pines,https://www.imdb.com/title/tt1817273/,movie,7.3,140,2012,"Crime, Drama, Thriller",226041,2012-09-07,Derek Cianfrance
40,tt0790736,2013-04-24,2013-04-24,,R.I.P.D.,https://www.imdb.com/title/tt0790736/,movie,5.6,96,2013,"Action, Adventure, Comedy, Fantasy, Sci-Fi",108706,2013-07-17,Robert Schwentke
41,tt1650554,2013-04-24,2013-04-24,,Kick-Ass 2,https://www.imdb.com/title/tt1650554/,movie,6.6,103,2013,"Action, Comedy, Crime",237738,2013-08-14,Jeff Wadlow
42,tt1389096,2013-04-24,2013-04-24,,Stand Up Guys,https://www.imdb.com/title/tt1389096/,movie,6.5,95,2012,"Comedy, Crime, Thriller",50456,2012-09-30,Fisher Stevens
43,tt0144117,2013-04-24,2013-04-24,,The Boondock Saints,https://www.imdb.com/title/tt0144117/,movie,7.8,108,1999,"Action, Crime, Thriller",216798,1999-08-04,Troy Duffy
44,tt1235522,2013-04-24,2013-04-24,,Broken City,https://www.imdb.com/title/tt1235522/,movie,6.2,109,2013,"Crime, Drama, Thriller",71507,2013-01-18,Allen Hughes
45,tt1321870,2013-04-24,2013-04-24,,Gangster Squad,https://www.imdb.com/title/tt1321870/,movie,6.7,113,2013,"Action, Crime, Drama, Thriller",195113,2013-01-07,Ruben Fleischer
46,tt1905041,2013-04-24,2013-04-24,,Furious 6,https://www.imdb.com/title/tt1905041/,movie,7.1,130,2013,"Action, Crime, Thriller",345634,2013-05-07,Justin Lin
47,tt1980209,2013-04-24,2013-04-24,,Pain & Gain,https://www.imdb.com/title/tt1980209/,movie,6.4,129,2013,"Action, Comedy, Crime, Drama, Thriller",187212,2013-04-11,Michael Bay
48,tt1551630,2013-04-24,2013-04-24,,Pawn,https://www.imdb.com/title/tt1551630/,movie,5.7,88,2013,"Action, Crime, Mystery, Thriller",6546,2013-04-19,David A. Armstrong
49,tt1502417,2013-04-24,2013-04-24,,Assassins Run,https://www.imdb.com/title/tt1502417/,movie,4.3,88,2013,"Action, Crime, Thriller",1311,2013-04-23,"Robert Crombie, Sofya Skya"
50,tt2132285,2013-04-24,2013-04-24,,The Bling Ring,https://www.imdb.com/title/tt2132285/,movie,5.6,90,2013,"Biography, Crime, Drama",77568,2013-05-16,Sofia Coppola
51,tt2024432,2013-04-24,2013-04-24,,Identity Thief,https://www.imdb.com/title/tt2024432/,movie,5.7,111,2013,"Adventure, Comedy, Crime, Drama",115137,2013-02-07,Seth Gordon
52,tt1684233,2013-04-24,2013-04-24,,Welcome to the Punch,https://www.imdb.com/title/tt1684233/,movie,6.1,99,2013,"Action, Crime, Thriller",30489,2013-02-24,Eran Creevy
53,tt1602613,2013-04-24,2013-04-24,,Only God Forgives,https://www.imdb.com/title/tt1602613/,movie,5.7,90,2013,"Crime, Drama",99969,2013-05-22,Nicolas Winding Refn
54,tt0066921,2013-04-24,2013-04-24,,A Clockwork Orange,https://www.imdb.com/title/tt0066921/,movie,8.3,136,1971,"Crime, Drama, Sci-Fi",685555,1971-12-19,Stanley Kubrick
55,tt0086066,2013-04-24,2013-04-24,,The Outsiders,https://www.imdb.com/title/tt0086066/,movie,7.2,91,1983,"Crime, Drama",67713,1983-03-25,Francis Ford Coppola
56,tt0086250,2013-04-24,2013-04-24,,Scarface,https://www.imdb.com/title/tt0086250/,movie,8.3,170,1983,"Crime, Drama",661163,1983-12-01,Brian De Palma
57,tt0110413,2013-04-24,2013-04-24,,Léon,https://www.imdb.com/title/tt0110413/,movie,8.6,110,1994,"Action, Crime, Drama, Thriller",919701,1994-09-14,Luc Besson
58,tt0114814,2013-04-24,2013-04-24,,The Usual Suspects,https://www.imdb.com/title/tt0114814/,movie,8.6,106,1995,"Crime, Mystery, Thriller",902585,1995-01-25,Bryan Singer
59,tt0113277,2013-04-24,2013-04-24,,Heat,https://www.imdb.com/title/tt0113277/,movie,8.2,170,1995,"Crime, Drama, Thriller",521888,1995-12-06,Michael Mann
60,tt0120689,2013-04-24,2013-04-24,,The Green Mile,https://www.imdb.com/title/tt0120689/,movie,8.6,189,1999,"Crime, Drama, Fantasy, Mystery",1008485,1999-12-06,Frank Darabont
61,tt0151804,2013-04-24,2013-04-24,,Office Space,https://www.imdb.com/title/tt0151804/,movie,7.8,89,1999,Comedy,226256,1999-02-19,Mike Judge
62,tt0144084,2013-04-24,2013-04-24,,American Psycho,https://www.imdb.com/title/tt0144084/,movie,7.6,101,2000,"Crime, Drama",429106,2000-01-21,Mary Harron
63,tt0208092,2013-04-24,2013-04-24,,Snatch,https://www.imdb.com/title/tt0208092/,movie,8.3,104,2000,"Comedy, Crime",715334,2000-08-23,Guy Ritchie
64,tt0212985,2013-04-24,2013-04-24,,Hannibal,https://www.imdb.com/title/tt0212985/,movie,6.8,131,2001,"Crime, Drama, Thriller",236359,2001-02-09,Ridley Scott
65,tt0317740,2013-04-24,2013-04-24,,The Italian Job,https://www.imdb.com/title/tt0317740/,movie,7.0,111,2003,"Action, Crime, Thriller",321483,2003-05-30,F. Gary Gray
66,tt0266697,2013-04-24,2013-04-24,,Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/,movie,8.1,111,2003,"Action, Crime, Thriller",901311,2003-09-29,Quentin Tarantino
