Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
34,tt1560747,2013-04-23,2013-04-23,,The Master,https://www.imdb.com/title/tt1560747/,movie,7.1,138,2012,Drama,130679,2012-09-01,Paul Thomas Anderson
35,tt1615065,2013-04-23,2013-04-23,,Savages,https://www.imdb.com/title/tt1615065/,movie,6.5,131,2012,"Crime, Drama, Thriller",115488,2012-06-25,Oliver Stone
36,tt1735898,2013-04-23,2013-04-23,,Snow White and the Huntsman,https://www.imdb.com/title/tt1735898/,movie,6.1,127,2012,"Action, Adventure, Drama, Fantasy",258263,2012-05-14,Rupert Sanders
37,tt2091473,2013-04-23,2013-04-23,,Promised Land,https://www.imdb.com/title/tt2091473/,movie,6.6,106,2012,Drama,34603,2012-12-04,Gus Van Sant
38,tt1790885,2013-04-23,2013-04-23,,Zero Dark Thirty,https://www.imdb.com/title/tt1790885/,movie,7.4,157,2012,"Drama, Thriller",250146,2012-12-10,Kathryn Bigelow
39,tt1924429,2013-04-23,2013-04-23,,Trance,https://www.imdb.com/title/tt1924429/,movie,6.9,101,2013,"Crime, Drama, Mystery, Thriller",104707,2013-03-19,Danny Boyle
40,tt2053463,2013-04-23,2013-04-23,,Side Effects,https://www.imdb.com/title/tt2053463/,movie,7.1,106,2013,"Crime, Drama, Mystery, Thriller",168112,2013-01-31,Steven Soderbergh
41,tt2101441,2013-04-23,2013-04-23,,Spring Breakers,https://www.imdb.com/title/tt2101441/,movie,5.3,94,2012,"Comedy, Crime, Drama",125952,2012-09-05,Harmony Korine
42,tt1433811,2013-04-23,2013-04-23,,Disconnect,https://www.imdb.com/title/tt1433811/,movie,7.5,115,2012,"Drama, Thriller",69922,2012-09-11,Henry Alex Rubin
43,tt1935179,2013-04-23,2013-04-23,,Mud,https://www.imdb.com/title/tt1935179/,movie,7.4,130,2012,Drama,156422,2012-05-26,Jeff Nichols
44,tt1817273,2013-04-23,2013-04-23,,The Place Beyond the Pines,https://www.imdb.com/title/tt1817273/,movie,7.3,140,2012,"Crime, Drama, Thriller",226041,2012-09-07,Derek Cianfrance
